offer_id,name,price,stock,brand,oem,quantity
MV1028F,Колодки тормозные передние Mavico MV1028F Lada Vesta комплект 4 шт,1500.00,37,Mavico,,4
MV1029F,"Колодки тормозные передние MAVICO MV1029F Lada Vesta NG / Iskra, 4шт",1500.00,12,Mavico,,4
DBA42312,Диск тормозной передний DBA 42312 Toyota Land Cruiser 2 шт,8990.00,4,DBA,,2
MF1041,Фильтр масляный Mavico MF-1041 Hyundai Solaris,250.00,103,Mavico,,
AF2205,"Фильтр воздушный MAVICO AF2205 Lada Largus, 1 шт",390.50,58,Mavico,,1
BD5510,Диск тормозной задний Mavico BD5510 Renault Logan OEM 8200123456 к-т 2шт,3200.00,9,Mavico,8200123456,2
CF3300,Фильтр салонный Mavico CF-3300 угольный VW Polo,450.00,21,Mavico,,
WB01,Щетки стеклоочистителя Деталиус 600мм/400мм комплект,990.00,0,Деталиус,,
MV3011R,Колодки тормозные задние Mavico Granta барабанные OEM 2101-3502090,890.00,15,Mavico,2101-3502090,
,"Диск тормозной передний Mavico Solaris (без цены, уточнить)",,6,Mavico,,
TP7788,Автополотенце из микрофибры Mavico 40х40 набор 3 шт,350.00,240,Mavico,,3
DBA4000,Диск тормозной DBA 4000 series Nissan Patrol пара,12500.00,2,DBA,,2
